Q No.,CAT TAGS,QUESTION,A,B,C,D,CORRECT OPTION
467,08: Validity of epidemiological studies,"A cohort study was conducted to examine the association between obesity and cardiovascular disease. During analysis, gender was suspected to be a confounder. Which of the following methods will help in examining the confounding effect due to gender?",Matching,Restriction,Randomization,Multivariate regression,D
468,09: Qualitative research studies: An overview,Which methods in qualitative research use flexible interview guide?,In depth Interviews and participant observation,Focus Group Discussions and In-depth interviews,Participant Observation and focus group discussions,Structure interviews and surveys,B
469,09: Qualitative research studies: An overview,Which of the following study designs can be used as a tool a generate ideas/hypotheses?,Qualitative study,Case-control study,Experimental study,Cohort study,A
470,09: Qualitative research studies: An overview,The qualitative data analysis method in which investigators code text into categories and build theoretical models,Content analysis,Grounded theory,Schema analysis,Hermeneutics,B
471,09: Qualitative research studies: An overview,"Open-ended, one-to-one interviews to discover interviewee's own framework of meanings",In-depth Interviews,Focus Group Discussions,Participant observation,Structured interviews,A
472,09: Qualitative research studies: An overview,Audio recordings during Focus Group Discussions,Can be done without any prior informed written consent,Cannot be done,Should always be done,Can be done with prior informed consent,D
473,09: Qualitative research studies: An overview,"All of the following are situations in which qualitative research methods can be used, EXCEPT",Familiar and sufficiently researched matter,To seek the depth of understanding,Exploration of behaviours,View the social phenomenon holistically,A
474,09: Qualitative research studies: An overview,The main methods used in qualitative research method include all EXCEPT,In-depth Interviews,Focus Group Discussions,Participant observation,Structured questionnaire based interviews,D
475,09: Qualitative research studies: An overview,The observer becomes a part of the group or event in this method of qualitative study,In-depth Interviews,Focus Group Discussions,Participant observation,Structured interviews,C
476,09: Qualitative research studies: An overview,All the statements regarding Participant Observation is true EXCEPT,Observer becomes a part of the event/group,Systematic collection of data is easy,Analytic methods for observation are not well described,Data is very detailed,B
477,09: Qualitative research studies: An overview,The qualitative data analysis method which uses theoretical framework as the basis for analysis,Content analysis,Grounded theory,Schema Analysis,Hermeneutics,A
478,09: Qualitative research studies: An overview,Which of the following are characteristics of qualitative research methods?,"Objective, measurable, reliable and repeatable","Subjective, measurable, credible and repeatable","Subjective, credible, inductive and interpretation of responses","Objective, credible, inductive and interpretation of responses",C
479,09: Qualitative research studies: An overview,The research method which is best suited for collection of information regarding highly sensitive matters such as alcohol use,Focus Group Discussions,Participant Observation,In-Depth Interview,Group discussions,C
480,09: Qualitative research studies: An overview,To provide insight to why people behave in a certain way,To estimate the prevalence of disease,To help understand the results of a,quantitative study,For developing a questionnaire,B
481,09: Qualitative research studies: An overview,Which of the following statement is true regarding Participant Observation,Observer becomes a part of the event/group,Systematic collection of data is easy,Analytic methods for observation are well described,Data is brief as compared to in-depth interviews,A
482,09: Qualitative research studies: An overview,Open ended group interviews that promotes discussion among participants is called as,In depth Interviews,Focus Group Discussions,Participant Observation,Structured interviews,B
483,09: Qualitative research studies: An overview,A researcher decided to conduct a study to explore the child feeding practices among mothers of under five children in a community. Which of the following qualitative techniques can the researcher employ to gather wide range of information on the topic in a short span of time?,Structured interview,In depth Interview,Participant Observation,Focus Group Discussion,D
484,09: Qualitative research studies: An overview,"In qualitative research, researchers interpret the social reality from the participants’ point of view.",TRUE,FALSE,,,A
485,09: Qualitative research studies: An overview,Which of the following statements is “Incorrect” about in-depth interviews?,Findings are always generalizable,The transcripts are time consuming to analyze,Helps understand sensitive issues,Useful when participants are knowledgeable on a particular topic,A
486,09: Qualitative research studies: An overview,Which of the following statement is “False” about focus group discussion.,Focus group discussions help understand local terminologies,Group interaction is integral for an effective discussion,Heterogeneity of the group is a prerequisite,Audio and video recordings are done with prior consent,C
487,09: Qualitative research studies: An overview,"Triangulation is the use of multiple methods, multiple theories and or multiple sources for a comprehensive understanding of the topic in question",TRUE,FALSE,,,A
488,09: Qualitative research studies: An overview,Which of the following characteristics is NOT related to qualitative research data?,Subjective validity,Data is in text form,Hypothesis testing is a goal,It involves interpretation of responses,C
489,09: Qualitative research studies: An overview,Which of the following CANNOT be done using qualitative research?,Viewing a social phenomenon holistically,Estimating the burden of a disease,Seeking in-depth understanding of a phenomenon,Unfamiliar subject matter,B
490,09: Qualitative research studies: An overview,A researcher wants to estimate the prevalence of exclusive breast feeding in a remote tribal population. She also wants to understand the myths and taboos associated with breast feeding. Which of the following approaches can be employed in this scenario?,Qualitative study,Clinical trial,Mixed-methods study,Cross-sectional study,A
491,09: Qualitative research studies: An overview,Which of the following is NOT a data collection method used in qualitative research?,Interviews,Sociogram,Participant observation,Focus group discussion,B
492,09: Qualitative research studies: An overview,Which of the following is NOT a feature of ‘In-depth interviews’?,It involves two or more participants at a time,It follows an interview guide,It is suitable for a highly sensitive topic,It obtains rich contextualized information,A
493,09: Qualitative research studies: An overview,Which of the following is an advantage of conducting ‘in-depth interviews’?,It expresses the ‘Emic’ perspective,It is generalizable,It is a quick process,It uses a systematic sampling approach,A
494,09: Qualitative research studies: An overview,"State whether true or false. In a focus group discussion, it is easy to obtain personal behaviours on a sensitive issue",TRUE,FALSE,,,B
495,09: Qualitative research studies: An overview,Which of the following is TRUE regarding ‘participant observation’ method?,It is easy to analyze the data,The researcher himself becomes a part of the study group,Data obtained is very concise,The researcher interviews each participant in detail,B
496,09: Qualitative research studies: An overview,State whether true or false. Data obtained from Focus Group Discussion may be sensitive to biased analysis.,TRUE,FALSE,,,A
497,09: Qualitative research studies: An overview,The analytical approach where the researcher proceeds to develop a theory based on learnings obtained from the data is called,Grounded theory analysis,Content analysis,Schema analysis,Factor analysis,A
498,10: Measurement of study variables,"In a study on hypertension, patients are categorized based on their systolic blood pressure as normal, pre-hypertension, stage 1 hypertension and stage 2 hypertension. What type of variable is this?",Qualitative,Descriptive,Nominal,Ordinal,D
499,10: Measurement of study variables,Most commonly used measure of central tendency is,Mode,Median,Mean,Range,C
500,10: Measurement of study variables,First quartile (Q1) is equivalent to __________ percentile,25th,50th,75th,1st,A
501,10: Measurement of study variables,"Find the median in the following sample of observations: 12, 26, 10, 29, 48",29,48,26,25,C
502,10: Measurement of study variables,The following measure is not influenced by extreme values in a data set,Arithmetic Mean,Inter-quartile range,Range,b' and 'c',B
503,10: Measurement of study variables,Which of the following statistic does not belong with the others?,Range,Variance,Mode,Standard deviation,C
504,10: Measurement of study variables,Number of children per household' is an example of a continuous variable,TRUE,FALSE,,,B
505,10: Measurement of study variables,"In a study, researchers are interested in measuring the	cholesterollevels of participants. Cholesterol level is a ________ variable",Ordinal,Nominal,Continuous,Discrete,C
506,10: Measurement of study variables,"In the following set of data, what is the mean? 4,1,9,7,3,8,2,6",5,4.5,9,8,A
507,10: Measurement of study variables,Difference between the minimum value and the maximum value of the observations,Variance,Inter-quartile range,Range,Standard Deviation,C
508,10: Measurement of study variables,All the following are measures of dispersion except,Mean,Variance,Standard deviation,Range,A
509,10: Measurement of study variables,Which percentile is equivalent to the median?,25,50,75,100,B
510,10: Measurement of study variables,All the following are true for standard deviation (SD) EXCEPT,It is the square root of the average of the squared deviations of the observations from the arithmetic mean,It is the most important measure of dispersion,It is expressed in the same units of measurement as the observation,The square of the standard deviation is called mean deviation,D
511,10: Measurement of study variables,A researcher measures fasting blood level of glucose of 100 participants. The mean blood sugar level was measured as 110 mg/dl. The standard deviation was 11 mg/dl. Calculate the coefficient of variance.,0.2,0.14,0.1,0.25,C
512,10: Measurement of study variables,A researcher measures the height of 100 school going children for his study. What type of variable is ‘height’?,Nominal,Ordinal,Continuous,Discrete,C
513,10: Measurement of study variables,A chest physician observed the distribution of forced expiratory volume (FEV) in 100 Chronic Obstructive Pulmonary disease (COPD) patients and calculated a median value of 2.0 litres. The value of first and third quartile of the distribution was 1.5 litres and 3.0 litres respectively. Based on this data how many patients in the sample are expected to have a FEV between 1.5 and 3.0 litres?,100,50,25,75,B
514,10: Measurement of study variables,The average of the absolute deviations of the observations from the arithmetic mean is known as,Variance,Inter-quartile range,Mean deviation,Standard deviation,C
515,10: Measurement of study variables,"In a study, a researcher was interested in measuring the haemoglobin levels of 10 participants. The values are 10.0, 8.5, 12.0, 14.0, 11.5, 13.5, 9.0, 12.0, 11.3, 7.5. What is the mode of this distribution?",7.5,12,10.9,14,B
516,10: Measurement of study variables,All the following are examples of a nominal variable EXCEPT,Gender,Age,Place of residence,Colour of eyes,B
517,10: Measurement of study variables,Which of the following is true about interquartile range?,It describes the middle value of the distribution,It divides the distribution into two halves,It covers the middle 50% of observations,It is affected by the extreme values in the distribution,C
518,10: Measurement of study variables,"When the data set contains too many extreme values, the most representative average value is",Mean,Mode,Median,Variance,C
519,10: Measurement of study variables,"The age of ten pregnant women who visited an ANC clinic is given. What is the mean age of this group? (26, 31, 25, 26, 30, 27, 25, 32, 25 and 33 years).",45,28,25,32,B
520,10: Measurement of study variables,Which of the following is a relative measure of dispersion when comparing variables which are measured in different units?,Inter-quartile range,Coefficient of variation,Range,Standard deviation,B
521,10: Measurement of study variables,"The following scores were obtained by ten medical students in a quiz: (5, 3, 6, 8, 7, 8, 3, 11, 6, 3) What is the median score of this group?",3,6,8,11,B
522,10: Measurement of study variables,‘Height of the students in a particular class measured in centimeter’ is an example of a continuous variable,TRUE,FALSE,,,A
523,10: Measurement of study variables,What is the appropriate measure of dispersion to report when median is reported as the measure of central tendency for a given set of data?,Standard deviation,Inter-quartile range,Variance,Coefficient of variance,B
524,10: Measurement of study variables,"In the NCD clinic of a primary health Centre, fasting blood sugar (in g/dL) of 11 patients was measured. The following values were obtained - (85, 93, 104, 108, 105, 120, 129, 202, 160, 400, 410). What is the most appropriate measure of central tendency for this data?",Mean = 120,Median = 120,Mean = 174.1,Median = 174.1,B
525,10: Measurement of study variables,Which of the following about ‘Range’ is TRUE?,It indicates the way in which values cluster about a particular point,It gives the number of observations bearing the same value,It is the difference between the minimum and maximum value,It shows the degree to which the mean value differs from its expected value.,C
526,10: Measurement of study variables,"In a survey, socio-economic status (SES) was collected in the following manner – ‘Lower, Lower Middle, Upper Middle and Upper’. What type of variable is SES?",Ordinal,Nominal,Continuous,Discrete,A
527,10: Measurement of study variables,"Body weights of 11 children who attended a paediatric OPD was measured. For this group, the first quartile, median, mean and third quartile were",3.5,7.5,0.1,24.5,B
528,11: Sampling methods,The process by which some members of a population are selected as representative of the entire population is known as,Census,Sampling,Survey,Randomization,B
529,11: Sampling methods,Sampling based upon equal chance of selection is called,Stratified random sampling,Simple random sampling,Systematic sampling,Subjective sampling,B
530,11: Sampling methods,"A researcher wishing to draw a sample from sequentially numbered houses uses a random starting point and then selects every 6th houses, s/he has thus drawn a ________ sample",Sequential,Systematic,Simple random,Stratified,B
531,11: Sampling methods,The following statement is correct regarding sampling error,Sampling error is difficult to measure in simple random sampling,Sampling error is easy to measure in stratified sampling,The magnitude of error can be measured in non-probability samples,The magnitude of error can be measured in probability samples,D
532,11: Sampling methods,The only sampling method allows to draw valid conclusions about the population is,Non-probability sampling,Convenience sampling,Probability sampling,Subjective sampling,C
533,11: Sampling methods,All the following are true regarding cluster sampling EXCEPT,It needs a complete list of units,The sampling unit is group of subjects,Sampling error is difficult to measure,Resources required are less,A
534,11: Sampling methods,Methods used in probability samples are,Stratified sampling,Multi-stage sampling,Cluster sampling,All of the above,D
535,11: Sampling methods,All the following statements are true regarding simple random sampling EXCEPT,Sampling error is easily measurable,It needs a complete list of all units,It ensures equal chance of selection for each unit,It always achieves best representativeness,D
536,11: Sampling methods,People who volunteer or who can be easily recruited are used in a sampling method called,Cluster sampling,Multi-stage sampling,Convenience sampling,Systematic sampling,C
537,11: Sampling methods,"Based on the number of cigarettes per day, a researcher divides the population into three risk groups for lung cancer (low, moderate, high risk). If the researcher then draws a random sample from each of these risk groups independently, s/he has created a _________ sample",Systematic,Simple random,Stratified,Group data,C
538,11: Sampling methods,All the following are non-probability sampling methods EXCEPT,Convenience sampling,Snowball sampling,Quota sampling,Systematic sampling,D
539,11: Sampling methods,"In a study to measure the prevalence of fluorosis in a district, towns are sampled first. This is followed by a sample of wards within the selected towns, and finally a sample of households within the selected wards. What is the type of the sampling used here?",Multistage sampling,Systematic random sampling,Simple random sampling,Convenience sampling,A
540,11: Sampling methods,The magnitude of sampling error can be measured in probability sampling.,TRUE,FALSE,,,A
541,11: Sampling methods,"All the following	statements are true regarding stratified sampling EXCEPT",It classifies population into homogeneous subgroups,The probability of a participant being selected is unknown,The sampling error is difficult to measure,It allows inclusion of representative participants from all subgroups,B
542,11: Sampling methods,Which of the following is true about nonprobability sampling?,It removes the possibility of bias in selection of participants,Sampling error can be measured,Quota sampling is a type of nonprobability sampling,Inferences drawn from non-probability sampling can be generalized,C
543,11: Sampling methods,Random sampling in probability samples reduces the possibility of selection bias,TRUE,FALSE,,,A
544,11: Sampling methods,Which of the following statement is true regarding systematic random sampling?,Sampling error cannot be measured,The chance of selection for each sampling unit is unknown,The selected sampling units are likely to be more representative than simple random sampling,It is a type of non-probability sampling,C
545,11: Sampling methods,"A researcher planned a cross-sectional study to assess the level of satisfaction of patients attending a clinic. For this, the researcher selected the first 100 patients who visited the clinic starting from a fixed date. What is the type of the sampling mentioned in this case?",Snowball sampling,Purposive sampling,Simple random sampling,Stratified random sampling,B
546,11: Sampling methods,The list of all individuals in the study population from whom study participants in a research are to be selected is known as,Sampling frame,Study population,Sampling unit,Study sample,A
547,11: Sampling methods,Which of the following is an advantage of multistage sampling?,Sampling error is easy to measure,It does not require a complete list of the total population,It requires only one sampling list,It always achieve the best representative sample,B
548,11: Sampling methods,Which of the following sampling method ensures that valid conclusions can be drawn about different subgroups in a population?,Simple random sample,Systematic random sample,Stratified random sample,Cluster random sample,C
549,11: Sampling methods,Which of the following about simple random sampling method is FALSE?,It needs a complete list of the units in the target population,Purposive sampling is a type of simple random sample,It draws units from the target population randomly,It gives equal chance of selection to every unit in the target population,B
550,11: Sampling methods,Sampling achieves,Efficient utilization of resources,Elimination of random error,Low non-response rate,Complete enumeration of population,A
551,11: Sampling methods,"In simple random sampling, the probability of selection of each individual is",Unequal,Equal,Unknown,One,B
552,11: Sampling methods,Which one of the following biases is prevented by an appropriate sampling technique?,Volunteer bias,Interviewer’s bias,Social desirability bias,Recall bias,A
553,11: Sampling methods,"In a neighborhood with 5000 houses, a researcher wants to obtain a systematic random sample of 50 houses. What will be the sampling interval in this case?",1000,100,0.1,0.01,B
554,11: Sampling methods,Which one of the following statement about cluster sampling is FALSE?,Units within a cluster are heterogeneous,Sampling frame of the entire study area is not required,Variability between clusters is assumed to be high,Sampling error is difficult to measure,C
555,11: Sampling methods,Which one of the following statements about multistage sampling is TRUE?,It saves resources as compared to simple random sampling,It requires a complete listing of the entire population,It’s sampling error can be easily measured,It is not suitable for sampling from a large population,A
556,11: Sampling methods,Which one of the following about stratified random sampling is FALSE?,Units within a strata are homogenous,Sample is taken from every strata,Precision improves with low numbers sampled in each stratum,Stratum specific estimates are weighted to obtain the overall estimate,C
557,11: Sampling methods,State whether True or False: Commonly used statistical inferences have the assumption of a probability sample.,TRUE,FALSE,,,A
558,12: Calculating sample size and power,Statistical power is defined as the probability of,Accepting a null hypothesis when it is false,Rejecting a null hypothesis when it is true,Rejecting a null hypothesis when it is false,Failing to reject a null hypothesis when it is false,C
559,12: Calculating sample size and power,Steps in the estimation of sample size included all of the following EXCEPT,Identify major study variable,Decide on the desired precision of the estimate,Adjust for population size,Adjust for selection bias,D
560,12: Calculating sample size and power,A type-II error occurs when,The null hypothesis is rejected when it is false,The null hypothesis is not rejected when it is false,The null hypothesis is not rejected when it is true,The null hypothesis is rejected when it is true,B
561,12: Calculating sample size and power,Exact calculation of design effect for a study parameter can take place you after study completion,TRUE,FALSE,,,A
562,12: Calculating sample size and power,Population variance can be estimated from,A pilot study,Reports of previous studies,Guessing,a' and 'b',D
563,12: Calculating sample size and power,The recommended minimum level of power for an analytical study,0.05,0.95,0.8,0.0005,C
564,12: Calculating sample size and power,"In general, sample size formula takes into account the crude association between exposure and outcome as well as the confounders",TRUE,FALSE,,,B
565,12: Calculating sample size and power,Design effect of 'more than 1' needs to be considered in studies involving,Cluster sampling,Simple random sampling,Stratified random sampling,Non-probability sampling,A
566,12: Calculating sample size and power,Which of the following is necessary in sample size determination?,Desired confidence level,Desired precision,Magnitude of the population variance,All of the above,D
567,12: Calculating sample size and power,Which one of the following statements is false?,Design effect is a relative change in the variance due to use of clusters,"As the magnitude of the expected effect increases, the required sample size increases",The population variance is unknown in general and has to be estimated,"Larger the sample size, smaller the sampling error",B
568,12: Calculating sample size and power,A type-I error occurs when,The null hypothesis is rejected when it is false,The null hypothesis is not rejected when it is false,The null hypothesis is not rejected when it is true,The null hypothesis is rejected when it is true,D
569,12: Calculating sample size and power,Which of the following is true about β error?,It is the probability of correctly rejecting the null hypothesis when it is false,It is the probability of accepting the null hypothesis when it is false,It is the probability of rejecting the null hypothesis when it is true,It is the probability of making a Type I error,B
570,12: Calculating sample size and power,All the following are essential statistical considerations for sample size calculation EXCEPT,Desired precision,Anticipated proportion of factor of interest,Sampling method,Allocated budget,D
571,12: Calculating sample size and power,For each confounder/variable added in the study empirically 10% increase in the sample size should be made.,TRUE,FALSE,,,A
572,12: Calculating sample size and power,"The design effect should be calculated after completion of the study and it, need not be counted at the design stage.",TRUE,FALSE,,,B
573,12: Calculating sample size and power,"When estimating sample size for a cross-sectional study, we need to account for",Expected proportion of characteristic of interest,"Estimated design effect, in case of cluster sampling",Population size,All the above,D
574,12: Calculating sample size and power,The power of a study,Does not influence the sample size,Represented as ‘α’,Can be defined as the probability of correctly rejecting null hypothesis when it is false,Represented as the probability of making a Type I error,C
575,12: Calculating sample size and power,The following are needed to calculate sample size for analytical studies using simple random sampling method EXCEPT,Desired value for the probability of α,Magnitude of the expected effect based on previous studies,Desired value for the probability of β,Estimated design effect,D
576,12: Calculating sample size and power,A researcher wants to estimate the prevalence of surgical site infection following cesarean section at a tertiary care hospital. What would be the minimum number of sample size to estimate the magnitude of surgical site infection following cesarean section if it is estimated that the proportion of surgical site infection will be 10% in the hospital considering 5% absolute precision and 95% confidence level (Z α/2 = 1.96).,100,138,148,158,B
577,12: Calculating sample size and power,Precision is described as a measure of how close an estimate is to the true value of a population parameter.,TRUE,FALSE,,,?
578,12: Calculating sample size and power,"In a cross-sectional study, a group of researchers wanted to estimate the prevalence of cephalosporin-resistant E.coli among adult males with urinary tract infections. From previous literature, the prevalence was found to be 6.5%. If the researchers want to estimate the prevalence with a 20% relative precision and 95% significance level, what is the minimum sample size required?",1042,1381,6,600,A
579,12: Calculating sample size and power,Which of the following factors is NOT essential for calculating sample size for a single mean estimation?,Need for statistical significance,Assumptions about population standard deviation,Precision,Significance level,A
580,12: Calculating sample size and power,Adjustments to a calculated sample size need NOT be done for which of the following reasons?,Non-response rate,Finite population size,Cluster design,Hospital-based study,D
581,12: Calculating sample size and power,State whether true or false. A pilot study can be conducted to get an estimate of the expected prevalence of the disease being studied to calculate the minimum required sample size.,TRUE,FALSE,,,A
582,12: Calculating sample size and power,A cross-sectional study aims to estimate the prevalence of Hydatid liver disease among patients undergoing Ultrasonography in a tertiary care hospital. Which of the following is NOT required for calculating the minimum required sample size for this objective?,Significance level,Assumed prevalence,Precision,Population variance,D
583,12: Calculating sample size and power,What is Type I error?,The probability of accepting the null hypothesis when it is false,The probability of rejecting the null hypothesis when it is true,The probability of rejecting the null hypothesis when it is false,The probability of accepting the null hypothesis when it is true,B
584,12: Calculating sample size and power,Ability of a study to detect correctly the presence of an association is known as,Precision,Power,Confidence,Significance,B
585,12: Calculating sample size and power,Standard deviation of a sampling distribution is called systematic error,TRUE,FALSE,,,B
586,12: Calculating sample size and power,Design effect is considered for which of the following sampling strategy?,Cluster sampling,Simple random sampling,Stratified random sampling,Non-probability sampling,A
587,12: Calculating sample size and power,"In a hospital based cross-sectional study, it is planned to estimate the mean D-dimer level among COVID-19 patients. From previous literature, the standard deviation was found to be 200 ng/mL. If the researchers want to estimate the mean with a 50 ng/mL precision and 95% significance level, what is the minimum sample size required?",62,16,31,248,A
588,13: Study population,Selection of study participants depends on,Representativeness,Acceptable cost,Adequate size,All of the above,D
589,13: Study population,Target population is determined by,Demographic characteristics,Temporal characteristics,Clinical characteristics,a' and 'c',D
590,13: Study population,Study sample is a subset of accessible population,TRUE,FALSE,,,A
591,13: Study population,Representativeness of a study sample refers to,The extent to which the characteristics of the sample accurately reflect the characteristics of the population,The size of the sample which is large enough,Volunteering nature of the subjects from the population,The extent to which the characteristics of exposed population accurately reflect the characteristics of unexposed sample,A
592,13: Study population,Non-response in a study can be minimized by,Repeat contact of the study participants,Providing compensation for participants time,Less invasive and less sensitive questionnaires will,All of the above,D
593,13: Study population,External validity means,The degree to which the inferences drawn from a study can be generalized to a broader population beyond the study population,The degree to which the observed findings lead to correct inferences about phenomena taking place in the study sample,The degree to which a test actually measures what it is designed to measure,The degree to which the findings are reliable,A
594,13: Study population,Participants may be excluded from the study because of,Interference with the success of study follow-up,Ethical concerns,Interference with the quality of data collection or non-acceptance to participate in the study,All of the above,D
595,13: Study population,"While choosing the accessible population and the sampling approach for selection of study population, an important factor that we need to consider is",Simplicity,Technology,Feasibility,Reliability,C
596,13: Study population,"If your research question is related to diagnosis, treatment or prognosis of a severe medical condition, then it is an easy and costeffective way to recruit the study population from the community",TRUE,FALSE,,,B
597,13: Study population,Reasons for interference with the success of follow-up in a study may include,Migration of some study participants from the study area,Marriage of some of the female study participants because of which they might move out of the study area,Refusals for follow-up,All of the above,D
598,13: Study population,The population defined by clinical and demographic characteristics is called,Target population,Accessible population,Subset,Study sample,A
599,13: Study population,The population defined by geographical and temporal characteristics is called as,Target population,Accessible population,Subset,Sample size,B
600,13: Study population,Random errors can be effectively handled by,Randomisation,Representativeness,Adequate sample size,All of the above,C
601,13: Study population,"A researcher found an inference about a particular disease of interest. If he/she wants to generalize the results, it is important to have",Internal validity,External validity,Feasibility,Accuracy,B
602,13: Study population,Reasons for interference with the success of follow-up in a study may include,Out-migration of some study participants from the study area,Marriage of some of the female study participants because of which they might move out of the study area,Refusals for follow-up,All of the above,D
603,13: Study population,Less invasive and less sensitive questionnaires will,Increase the power,Decrease the power,Improve the significance,Reduce the non-response,D
604,13: Study population,The external validity in a research study means,The degree to which the observed findings lead to correct inferences about phenomena taking place in the study sample,The degree to which a test actually measures what it is designed to measure,The degree to which the inferences drawn from a study can be generalized to a broader population beyond the study population,The degree to which the findings are reliable,C
605,13: Study population,The degree to which the observed findings lead to correct inferences about phenomena of interest in the study sample is,Reliability,Feasibility,Internal validity,External validity,C
606,13: Study population,Which factor is important to consider while choosing the accessible population and the sampling approach?,Feasibility,Sensitivity,Specificity,Reliability,A
607,13: Study population,The participants may be excluded from the study because of,Interference with the success of study follow-up,Ethical concerns,Interference with the quality of data collection,All of the above,D
608,13: Study population,Which of the following helps to minimize the random error in a research study?,Limited study duration,Adequate sample size,Adequate budget,More than six investigators,B
609,13: Study population,Representativeness of the study participants similar to the population of interest can help in which of the following aspects of a research study?,Generalizability of the findings,Internal validity,Reduce information bias,Minimize recall bias,A
610,13: Study population,"An investigator intends to estimate the prevalence of Urinary Tract Infection (UTI) among circumcised children (<5 years old) in Jaipur city. However, the researcher selects the study participants from one government hospital. Which of the following is the target population in this study?",All children aged <5 years in the city,All circumcised children aged <5 years in the city,All circumcised children aged <5 years attending the government hospital,All children having UTI in the city,B
611,13: Study population,Which of the following is the accessible population in the above study?,All children aged <5 years in the city,All circumcised children aged <5 years in the city,All circumcised children aged <5 years attending the government hospital,All children having UTI in the city,C
612,13: Study population,State whether true or false. High non-response rate in a study may affect the internal validity.,TRUE,FALSE,,,A
613,13: Study population,Which of the following is TRUE about study validity?,An internally valid study result is always generalizable to the target population,An internally valid study result may or may not be generalizable to the target population,An externally valid study result is not generalizable to the target population,A study without internal validity can be generalized to the target population,B
614,13: Study population,Which of the following statements on study populations is TRUE?,Study sample is a subset of the accessible population,Target population is a subset of the accessible population,Accessible population is a subset of the study sample,Target population is a subset of the study sample,A
615,13: Study population,State whether true or false. Biases can affect both internal and external validity.,TRUE,FALSE,,,A
616,13: Study population,"In a community based vaccine trial, which aims to compare the 1 year incidence of intussusception in children receiving/not receiving rotavirus vaccine, which of the following can be a likely exclusion criterion?",Children who may leave the study area within a month,Children aged 0 months to 24 months,Children without pre-existing intestinal anomalies,Children who have not received rotavirus vaccine previously,A
617,13: Study population,"In a cohort study planned to estimate the incidence of birth defects among Zika virus infected pregnant women in Chennai city, which of the following CANNOT be an inclusion criterion?",First trimester pregnant women with lab confirmed Zika virus infection,Pregnant women who are permanent residents of Chennai city,Pregnant women aged above 18 years,Pregnant women taking drugs known to cause birth defects,D
618,14: Study plan and project management,Which of the following statements regarding study objectives is correct?,Objectives should be defined at the planning stage of study,Objectives can be defined at any time of the study,Objectives can be changed even at the end of the study,Objectives should be defined before identifying the research question,A
619,14: Study plan and project management,Which of the following is (are) required to determine the key indicators for planned research study?,Frame study objectives,Identify parameters needed for the key indicators,Choose the right study design,All of the above,D
620,14: Study plan and project management,Which of the following can improve efficiency of a research study?,Time management,Planning and scheduling activities,Budgeting,All of the above,D
621,14: Study plan and project management,Which of the following represents the correct sequence in a life cycle of a study?,"Identifying data needs, formulating study objectives, planning analysis, spelling out research question","Formulating study objectives, planning analysis, spelling out research question, identifying data needs","Identifying data needs, spelling out research question, formulating study objectives, planning analysis","Formulating study objects, spelling out research question, identifying data needs, planning analysis",C
622,14: Study plan and project management,It should be ensured that products/deliverables of health research projects are delivered within the,Defined timeframe,Defined budget,Expected quality standards,All of the above,D
623,14: Study plan and project management,Which of the following statements best describes the study objectives?,"They should be minimum, achievable and clear",They can be primary and / or secondary,Adding objectives during study implementation is a good practice,a' and 'b',D
624,14: Study plan and project management,Principles to be followed while collecting the information elements are,Use the variables that will best reflect the information element,Adopt standardize case definitions and laboratory criteria/normal ranges,Choose the most accurate ways of collecting information on various elements,All of the above,D
625,14: Study plan and project management,Study conducted following an ad hoc approach may lead to the following consequences,Generation of useful data in programs or for policy making,Efficient utilization of resources,Serious difficulties in analysis and interpretation,All of the above,C
626,14: Study plan and project management,Common reasons for research study failures,Poorly defined research question,Vague timelines,Lack of supervision,All of the above,D
627,14: Study plan and project management,Sample size for a cross-sectional study is decided based on the following,Assumed/reported prevalence,Confidence interval,Acceptable precision,All of the above,D
628,14: Study plan and project management,Which of the following is a criterion for a good research question?,Long and self-explanatory question using complex terms,A question based on ill-defined hypothesis,A question based on strong hunch on part of the investigator,A question based on established theory and some research evidence,D
629,14: Study plan and project management,Which of the following can be considered true in case of ad hoc approach to conduct a research study?,Its advantages are the low development effort and possibility of getting results in a short time span,Its advantage is that the accuracy of the results is usually high,Only 'a',Both 'a' and 'b',"A,C"
630,14: Study plan and project management,A cross sectional study is carried out to examine whether naval medical personnel of a higher rank have more positive copying skills than those of a lower rank. Which of the following statement is true of this study?,Neither variable is dependent as the researcher cannot manipulate them,The independent variable is rank and the dependent variable is copying skills,The independent variable is copying skills and the dependent variable is rank,None of the above,B
631,14: Study plan and project management,"Indicators are considered positive when they have a direct relationship (association, correlation) with the state of health. Which of the following are the examples of positive indicators? a.) The proportion of cured tuberculosis, b.) cases, c.) Incidence of AIDS, d.) Life expectancy at birth",a' and 'c',b' and 'd',"a', 'b', 'c' and 'd'",,?
632,14: Study plan and project management,Which of the following techniques is preferentially used when the population is finite?,Purposive sampling technique,Area sampling technique,Systematic sampling technique,None of the above,C
633,14: Study plan and project management,"A study began in 1980 with enrolment of a group of 7000 adults in Pondicherry who were asked about their alcohol consumption, smoking, diet, environmental risk factors etc. All the participants were periodically examined and evaluated for evidence of various types of cancers between 1990-1995. Which of the following study designs was used by the investigators?",Case-control study,Prospective cohort study,Ecological study,Retrospective cohort study,B
